,Author_A,Author_B,count,btwc,adar,cc,dc,jc,pa,pagerank_A,pagerank_B,hits_authority_A,hits_hubs_A,hits_authority_B,hits_hubs_B
0,0,1236,14,0.00020138218697046058,2.4716494449788464,0.18787930261293775,0.002124269782262347,0.42857142857142855,96,0.00021989143845112634,0.0003017897243482518,3.1662441796204187e-06,3.1662441797505687e-06,5.7136290686742184e-05,5.713629068892072e-05
1,0,1655,9,6.0673511836612725e-05,2.976054214633728,0.18787930261293775,0.002124269782262347,0.4666666666666667,112,0.00021989143845112634,0.00037597724376336463,3.1662441796204187e-06,3.1662441797505687e-06,1.0717342409332387e-05,1.0717342409062468e-05
2,0,1797,4,1.6447536142638297e-07,2.8998577830102605,0.18787930261293775,0.002124269782262347,0.7,72,0.00021989143845112634,0.0002450132652478938,3.1662441796204187e-06,3.1662441797505687e-06,3.202143903454015e-06,3.202143903585459e-06
3,0,2414,1,4.1598667741870195e-06,2.4716494449788464,0.18787930261293775,0.002124269782262347,0.6,64,0.00021989143845112634,0.00022309505580630517,3.1662441796204187e-06,3.1662441797505687e-06,2.0886393262430814e-06,2.0886393263045985e-06
4,0,2568,8,6.390372268045006e-05,2.976054214633728,0.18787930261293775,0.002124269782262347,0.4666666666666667,112,0.00021989143845112634,0.00036270679360250226,3.1662441796204187e-06,3.1662441797505687e-06,1.83447395359865e-05,1.834473953516532e-05
5,0,356,14,1.6485444873559915e-05,2.899857783010261,0.18787930261293775,0.002124269782262347,0.7,72,0.00021989143845112634,0.00024022702862922014,3.1662441796204187e-06,3.1662441797505687e-06,9.484661720951586e-06,9.484661721520248e-06
6,0,3649,9,0.00012009342045771377,2.9857080232548245,0.18787930261293775,0.002124269782262347,0.4375,120,0.00021989143845112634,0.00038565278559656756,3.1662441796204187e-06,3.1662441797505687e-06,4.880610709364049e-05,4.880610709507251e-05
7,0,3760,4,1.6508941353763682e-05,2.9206829144204276,0.18787930261293775,0.002124269782262347,0.6363636363636364,80,0.00021989143845112634,0.0002652659896903731,3.1662441796204187e-06,3.1662441797505687e-06,9.520561444785183e-06,9.520561445355138e-06
8,1,1242,1,0.00013890875668308116,2.573624610251883,0.22313357423619168,0.003186404673393521,0.3,168,0.0003017897243482518,0.00037597724376336463,5.7136290686742184e-05,5.713629068892072e-05,1.0717342409332387e-05,1.0717342409062468e-05
9,1,1309,1,0.00020695252122363353,2.497428178628416,0.22313357423619168,0.003186404673393521,0.4,108,0.0003017897243482518,0.0002450132652478938,5.7136290686742184e-05,5.713629068892072e-05,3.202143903454015e-06,3.202143903585459e-06
10,1,141,1,8.863470437644726e-06,1.1929958932026554,0.22313357423619168,0.003186404673393521,0.2857142857142857,72,0.0003017897243482518,0.00016397132626464267,5.7136290686742184e-05,5.713629068892072e-05,5.630915257066541e-05,5.630915257284522e-05
11,1,19,1,9.635558504821581e-05,2.573624610251883,0.22313357423619168,0.003186404673393521,0.3,168,0.0003017897243482518,0.00036270679360250226,5.7136290686742184e-05,5.713629068892072e-05,1.83447395359865e-05,1.834473953516532e-05
12,1,1917,1,0.0005040437651521485,1.4868491498174572,0.22313357423619168,0.003186404673393521,0.07692307692307693,528,0.0003017897243482518,0.0008949875151702609,5.7136290686742184e-05,5.713629068892072e-05,0.0014719989051851102,0.0014719989052036904
13,1,2214,1,0.0002837200945406435,1.1370259769318176,0.22313357423619168,0.003186404673393521,0.08333333333333333,324,0.0003017897243482518,0.0007430020401698752,5.7136290686742184e-05,5.713629068892072e-05,0.00019817303215315658,0.0001981730321550366
14,1,337,1,0.0001027812614986695,2.325862634526448,0.22313357423619168,0.003186404673393521,0.2,288,0.0003017897243482518,0.0005559288594278845,5.7136290686742184e-05,5.713629068892072e-05,0.00032421145696994407,0.0003242114569836497
15,1,3393,1,6.328162538544533e-05,2.5832784188729794,0.22313357423619168,0.003186404673393521,0.2857142857142857,180,0.0003017897243482518,0.00038565278559656756,5.7136290686742184e-05,5.713629068892072e-05,4.880610709364049e-05,4.880610709507251e-05
16,1,340,1,0.00030613326401302394,1.1370259769318176,0.22313357423619168,0.003186404673393521,0.08823529411764706,300,0.0003017897243482518,0.0005923362408982212,5.7136290686742184e-05,5.713629068892072e-05,0.0007207140896651082,0.0007207140896911625
17,1,3417,1,4.6617187461749355e-05,2.8329112904827074,0.22313357423619168,0.003186404673393521,0.4666666666666667,120,0.0003017897243482518,0.0002652659896903731,5.7136290686742184e-05,5.713629068892072e-05,9.520561444785183e-06,9.520561445355138e-06
18,1,3552,1,4.104685320857725e-05,2.812086159072541,0.22313357423619168,0.003186404673393521,0.5,108,0.0003017897243482518,0.00024022702862922014,5.7136290686742184e-05,5.713629068892072e-05,9.484661720951586e-06,9.484661721520248e-06
19,1,3630,1,0.0001286986646608361,1.5181810700478136,0.2096826441412535,0.0037174721189591076,0.16666666666666666,196,0.00037597724376336463,0.0003787625280878499,1.0717342409332387e-05,1.0717342409062468e-05,4.0663884008724234e-05,4.066388400595428e-05
20,1,3675,1,6.065001535640896e-05,3.559943574834544,0.2096826441412535,0.0037174721189591076,0.5333333333333333,126,0.00037597724376336463,0.0002450132652478938,1.0717342409332387e-05,1.0717342409062468e-05,3.202143903454015e-06,3.202143903585459e-06
21,1,3828,1,0.00013441127151199447,1.4800718603135186,0.2096826441412535,0.0037174721189591076,0.19047619047619047,154,0.00037597724376336463,0.0003185665912137097,1.0717342409332387e-05,1.0717342409062468e-05,3.0658576249707135e-05,3.0658576250772384e-05
22,1,3951,1,8.571047642751469e-05,3.1317352368031304,0.2096826441412535,0.0037174721189591076,0.4666666666666667,112,0.00037597724376336463,0.00022309505580630517,1.0717342409332387e-05,1.0717342409062468e-05,2.0886393262430814e-06,2.0886393263045985e-06
23,1,750,1,2.648198605591906e-05,4.78505170343697,0.2096826441412535,0.0037174721189591076,0.6470588235294118,196,0.00037597724376336463,0.00036270679360250226,1.0717342409332387e-05,1.0717342409062468e-05,1.83447395359865e-05,1.834473953516532e-05
24,10,1977,1,9.079745226203254e-05,2.1185049969384644,0.2096826441412535,0.0037174721189591076,0.3333333333333333,84,0.00037597724376336463,0.00017586841168934345,1.0717342409332387e-05,1.0717342409062468e-05,1.8420912662085507e-06,1.8420912662478776e-06
25,10,2425,1,0.00034726174065349857,1.5441481278730036,0.2096826441412535,0.0037174721189591076,0.14814814814814814,238,0.00037597724376336463,0.0004508984019988246,1.0717342409332387e-05,1.0717342409062468e-05,0.00018747693025821384,0.0001874769302471168
26,10,2459,1,4.407855464741524e-05,4.794705512058067,0.2096826441412535,0.0037174721189591076,0.6111111111111112,210,0.00037597724376336463,0.00038565278559656756,1.0717342409332387e-05,1.0717342409062468e-05,4.880610709364049e-05,4.880610709507251e-05
27,10,2902,1,4.4143202249092095e-05,3.5807687062447116,0.2096826441412535,0.0037174721189591076,0.5,140,0.00037597724376336463,0.0002652659896903731,1.0717342409332387e-05,1.0717342409062468e-05,9.520561444785183e-06,9.520561445355138e-06
28,10,986,1,0.0003204847410888431,0.0,0.2096826441412535,0.0037174721189591076,0.0,196,0.00037597724376336463,0.00046941986920226284,1.0717342409332387e-05,1.0717342409062468e-05,9.794885962718476e-05,9.79488596267624e-05
