,Author_A,Author_B,count,aa,ra,jc,pa
0,0,1236,14,2.4716494449788464,0.5317460317460317,0.42857142857142855,96
1,0,1655,9,2.976054214633728,0.6686507936507936,0.4666666666666667,112
2,0,1797,4,2.8998577830102605,0.628968253968254,0.7,72
3,0,2414,1,2.4716494449788464,0.5317460317460317,0.6,64
4,0,2568,8,2.976054214633728,0.6686507936507936,0.4666666666666667,112
5,0,356,14,2.899857783010261,0.628968253968254,0.7,72
6,0,3649,9,2.9857080232548245,0.6734126984126984,0.4375,120
7,0,3760,4,2.9206829144204276,0.640079365079365,0.6363636363636364,80
8,1,1242,1,4.872716022442333,0.7076466838858174,0.25,944
9,1,1309,1,4.765005960387402,0.6657723070164256,0.8333333333333334,272
10,1,141,1,4.757288324029922,0.6620958364281904,0.8823529411764706,256
11,1,19,1,4.831962416749489,0.6942928061251601,0.4411764705882353,528
12,1,1917,1,4.81786045575175,0.6888815507139047,0.5172413793103449,448
13,1,2214,1,4.778338812357054,0.6719642574808219,0.75,304
14,1,337,1,4.789503345499112,0.6769767888091427,0.6818181818181818,336
15,1,3393,1,4.843054506509669,0.6982800469545061,0.38461538461538464,608
16,1,340,1,4.757288324029922,0.6620958364281904,0.8823529411764706,256
17,1,3417,1,4.757288324029922,0.6620958364281904,0.8823529411764706,256
18,1,3552,1,4.765005960387402,0.6657723070164256,0.8333333333333334,272
19,1,3630,1,4.852089498577311,0.701340022474702,0.3409090909090909,688
20,1,3675,1,4.799033095348362,0.6811175755586252,0.625,368
21,1,3828,1,4.757288324029922,0.6620958364281904,0.8823529411764706,256
22,1,3951,1,4.868419569622951,0.7064140182463722,0.26785714285714285,880
23,1,750,1,4.757288324029922,0.6620958364281904,0.8823529411764706,256
24,10,1977,1,0.6213349345596119,0.2,0.1111111111111111,25
25,10,2425,1,0.45511961331341866,0.1111111111111111,0.1,30
26,10,2459,1,1.0764545478730305,0.3111111111111111,0.25,25
27,10,2902,1,0.0,0.0,0.0,5
28,10,986,1,1.179445561110859,0.3666666666666667,0.16666666666666666,45
29,100,3232,1,0.5581106265512472,0.16666666666666666,0.058823529411764705,65
30,100,3313,2,0.3898712452512801,0.07692307692307693,0.1,30
31,100,348,5,1.4426950408889634,0.5,0.04,105
32,100,400,1,0.0,0.0,0.0,275
33,100,890,1,0.3284587387530511,0.047619047619047616,0.16666666666666666,10
34,1000,2128,2,2.352934267515801,0.8333333333333333,0.4,12
35,1000,3908,1,0.7213475204444817,0.25,0.25,6
36,1001,2186,1,2.740171735325184,0.6765873015873016,0.16216216216216217,280
37,1001,2727,1,2.5405398024249246,0.5801587301587301,0.6,64
38,1001,2995,1,2.5405398024249246,0.5801587301587301,0.6,64
39,1001,3228,1,2.566318536074494,0.594047619047619,0.5454545454545454,72
40,1001,3593,1,2.5405398024249246,0.5801587301587301,0.6,64
41,1001,3605,1,2.6929794106348615,0.6575396825396824,0.2608695652173913,168
42,1001,3809,1,2.5075398070181616,0.5623015873015873,0.6666666666666666,56
