0,356
0,356
0,1236
356,1236
0,356
0,1236
356,1236
0,356
0,1236
356,1236
0,356
0,1236
356,1236
0,356
0,1236
0,1655
0,1797
0,2568
0,3649
0,3760
356,1236
356,1655
356,1797
356,2568
356,3649
356,3760
1236,1655
1236,1797
1236,2568
1236,3649
1236,3760
1655,1797
1655,2568
1655,3649
1655,3760
1797,2568
1797,3649
1797,3760
2568,3649
2568,3760
3649,3760
0,356
0,1236
0,1655
0,1797
0,2568
0,3649
0,3760
356,1236
356,1655
356,1797
356,2568
356,3649
356,3760
1236,1655
1236,1797
1236,2568
1236,3649
1236,3760
1655,1797
1655,2568
1655,3649
1655,3760
1797,2568
1797,3649
1797,3760
2568,3649
2568,3760
3649,3760
0,356
0,1236
0,1655
0,1797
0,2568
0,3649
0,3760
356,1236
356,1655
356,1797
356,2568
356,3649
356,3760
1236,1655
1236,1797
1236,2568
1236,3649
1236,3760
1655,1797
1655,2568
1655,3649
1655,3760
1797,2568
1797,3649
1797,3760
2568,3649
2568,3760
3649,3760
0,356
0,1236
0,1655
0,2568
0,3649
356,1236
356,1655
356,2568
356,3649
1236,1655
1236,2568
1236,3649
1655,2568
1655,3649
2568,3649
0,356
0,1236
0,1655
0,2568
0,3649
356,1236
356,1655
356,2568
356,3649
1236,1655
1236,2568
1236,3649
1655,2568
1655,3649
2568,3649
0,356
0,1236
0,1655
0,2568
0,3649
356,1236
356,1655
356,2568
356,3649
1236,1655
1236,2568
1236,3649
1655,2568
1655,3649
2568,3649
0,356
0,1236
0,1655
0,2568
0,3649
356,1236
356,1655
356,2568
356,3649
1236,1655
1236,2568
1236,3649
1655,2568
1655,3649
2568,3649
0,356
0,1236
0,1655
0,3649
356,1236
356,1655
356,3649
1236,1655
1236,3649
1655,3649
0,356
0,1236
0,1655
0,3649
356,1236
356,1655
356,3649
1236,1655
1236,3649
1655,3649
0,1236
0,1797
0,2414
0,2568
0,3760
1797,2414
1797,2568
1797,3760
2414,2568
2414,3760
2568,3760
1,19
1,141
1,337
1,340
1,750
1,1242
1,1309
1,1917
1,2214
1,3393
1,3417
1,3552
1,3630
1,3675
1,3828
1,3951
19,141
19,337
19,340
19,750
19,1242
19,1309
19,1917
19,2214
19,3393
19,3417
19,3552
19,3630
19,3675
19,3828
19,3951
141,337
141,340
141,750
141,1242
141,1309
141,1917
141,2214
141,3393
141,3417
141,3552
141,3630
141,3675
141,3828
141,3951
337,340
337,750
337,1242
337,1309
337,1917
337,2214
337,3393
337,3417
337,3552
337,3630
337,3675
337,3828
337,3951
340,750
340,1242
340,1309
340,1917
340,2214
340,3393
340,3417
340,3552
340,3630
340,3675
340,3828
340,3951
750,1242
750,1309
750,1917
750,2214
750,3393
750,3417
750,3552
750,3630
750,3675
750,3828
750,3951
1242,1309
1242,1917
1242,2214
1242,3393
1242,3417
1242,3552
1242,3630
1242,3675
1242,3828
1242,3951
1309,1917
1309,2214
1309,3393
1309,3417
1309,3552
1309,3630
1309,3675
1309,3828
1309,3951
1917,2214
1917,3393
1917,3417
1917,3552
1917,3630
1917,3675
1917,3828
1917,3951
2214,3393
2214,3417
2214,3552
2214,3630
