,Author_A,Author_B,bc_A,bc_B
0,0,1236,4.675923153766893e-06,0.0007388385362351489
1,0,1655,4.675923153766893e-06,0.0003095829361772278
2,0,1797,4.675923153766893e-06,9.8024260165248e-06
3,0,2414,4.675923153766893e-06,2.7980985017973304e-08
4,0,2568,4.675923153766893e-06,0.0006665076501374737
5,0,356,4.675923153766893e-06,7.942112883681785e-05
6,0,3649,4.675923153766893e-06,0.0010399663684042442
7,0,3760,4.675923153766893e-06,0.0002588999101004198
8,1,1242,0.0,0.006006935638991438
9,1,1309,0.0,0.0002068265189926623
10,1,141,0.0,0.0
11,1,19,0.0,0.0007967512156331224
12,1,1917,0.0,0.0006789525425744245
13,1,2214,0.0,0.0002434321344036271
14,1,337,0.0,0.0006880493620097036
15,1,3393,0.0,0.0012729039797225946
16,1,340,0.0,0.0
17,1,3417,0.0,0.0
18,1,3552,0.0,4.065914787166173e-05
19,1,3630,0.0,0.0016520785240345605
20,1,3675,0.0,0.0001648843060364305
21,1,3828,0.0,0.0
22,1,3951,0.0,0.005284383186996308
23,1,750,0.0,0.0
24,10,2902,0.0,0.0
25,100,3313,0.0002032664753183351,1.4208673290494967e-05
26,100,348,0.0002032664753183351,0.012312233881306771
27,100,400,0.0002032664753183351,0.004573708058173748
28,100,890,0.0002032664753183351,0.0
29,1000,2128,0.0,0.00025560629813918616
30,1001,2186,0.0,0.007616251588392893
31,1001,2727,0.0,0.0
32,1001,2995,0.0,0.0
33,1001,3228,0.0,2.1382000955785252e-05
34,1001,3593,0.0,0.0
35,1001,3605,0.0,0.00252322899072462
36,1001,3809,0.0,0.0
37,1002,1042,0.0,0.002061476780013294
38,1003,1139,0.0010793358052054599,0.018610575052036806
39,1003,1429,0.0010793358052054599,0.0023018553856428248
40,1003,2310,0.0010793358052054599,0.0003977330480748241
41,1003,2973,0.0010793358052054599,0.00022714227621672422
42,1003,3150,0.0010793358052054599,0.0
43,1003,3638,0.0010793358052054599,0.004191814316377759
44,1004,1934,0.0,0.0027605331813260526
45,1005,1096,0.000224597693282954,0.00666241571532339
46,1005,1183,0.000224597693282954,0.008160558599736682
47,1005,1502,0.000224597693282954,0.00250589094040945
48,1005,1708,0.000224597693282954,0.019061876787206323
49,1005,1833,0.000224597693282954,0.0
50,1005,2012,0.000224597693282954,4.4340686619896437e-05
51,1005,2022,0.000224597693282954,0.00017774058302076344
52,1005,2215,0.000224597693282954,0.001513984783461348
53,1005,2239,0.000224597693282954,0.00010270782343292985
54,1005,2294,0.000224597693282954,0.0011445691720837628
55,1005,2666,0.000224597693282954,0.002572587084625399
56,1005,2681,0.000224597693282954,0.022832424167471072
57,1005,2706,0.000224597693282954,0.003529919026046002
58,1005,2743,0.000224597693282954,0.0025631032268848496
59,1005,2749,0.000224597693282954,0.0
60,1005,2785,0.000224597693282954,0.0029332631320099995
61,1005,2839,0.000224597693282954,0.003171201096402544
62,1005,3064,0.000224597693282954,0.0004105346174166691
63,1005,3148,0.000224597693282954,0.011233567200011044
64,1005,3624,0.000224597693282954,0.0
65,1005,3955,0.000224597693282954,0.011964567669438205
66,1005,3961,0.000224597693282954,0.003963058112578343
67,1005,4046,0.000224597693282954,0.0
68,1006,1325,0.0004457943703195344,0.002393172893020143
69,1006,1726,0.0004457943703195344,0.0010415567123529112
70,1006,2622,0.0004457943703195344,0.0017294820930282688
71,1006,3351,0.0004457943703195344,0.0018713289136686891
72,1006,3441,0.0004457943703195344,0.011557138947813635
73,1006,3955,0.0004457943703195344,0.011964567669438205
74,1006,4013,0.0004457943703195344,5.201890193111094e-05
75,1007,1192,0.0,0.0
76,1008,1348,0.0005113804821884801,0.0015179438854554
77,1008,1430,0.0005113804821884801,0.0
78,1008,3844,0.0005113804821884801,0.0004127323910492356
79,101,2015,3.527251653077604e-05,0.003293040407141808
80,101,2106,3.527251653077604e-05,3.304790954732228e-05
81,101,686,3.527251653077604e-05,0.00486884834608578
82,101,757,3.527251653077604e-05,0.0002725753600238554
83,1010,3482,3.078162150416022e-05,0.0060930827211235885
84,1010,3493,3.078162150416022e-05,0.0
85,1010,3567,3.078162150416022e-05,0.0010419072809222676
86,1010,3729,3.078162150416022e-05,0.0
87,1010,4089,3.078162150416022e-05,0.0
88,1012,1670,0.0,0.0
89,1012,2523,0.0,0.0
90,1012,3606,0.0,0.0
91,1013,1056,0.0,0.005424564392399827
92,1013,3436,0.0,0.0017261034286778537
93,1014,1274,0.0011697705788783145,1.0697036862632178e-05
94,1014,1318,0.0011697705788783145,0.0010792015546288254
95,1014,2090,0.0011697705788783145,0.0
96,1014,2585,0.0011697705788783145,0.0002387831537735237
97,1014,3639,0.0011697705788783145,0.0
98,1014,3940,0.0011697705788783145,0.0
99,1014,4009,0.0011697705788783145,0.0
100,1015,1640,0.0,0.0
101,1015,2644,0.0,0.0
102,1017,1542,0.0,0.0
