,Author_A,Author_B,count,btwc,adar,cc,dc,jc,pa,pagerank_A,pagerank_B,hits_authority_A,hits_hubs_A,hits_authority_B,hits_hubs_B
0,0,1087,1,0.0001521861930373202,0.0,0.2401506928037801,0.0015953203935123639,0.0,30,0.00021001293815145911,0.000186439602662821,0.00016652669351253883,0.0001665266935119923,0.000786372198108264,0.0007863721981082291
1,0,1113,1,0.00022560784821610172,0.0,0.2401506928037801,0.0015953203935123639,0.0,66,0.00021001293815145911,0.00032951746962686104,0.00016652669351253883,0.0001665266935119923,0.0002716986767203384,0.0002716986767206326
2,0,1780,1,0.00013753938467847343,0.0,0.2401506928037801,0.0015953203935123639,0.0,30,0.00021001293815145911,0.00017697553594269453,0.00016652669351253883,0.0001665266935119923,0.0001862556986064143,0.00018625569860623143
3,0,1806,1,0.00030464377657374883,0.0,0.2401506928037801,0.0015953203935123639,0.0,84,0.00021001293815145911,0.00039892138953097155,0.00016652669351253883,0.0001665266935119923,0.00030982085358958523,0.0003098208535891998
4,0,3245,1,0.00030006500772268205,0.0,0.2401506928037801,0.0015953203935123639,0.0,96,0.00021001293815145911,0.00045648072046167724,0.00016652669351253883,0.0001665266935119923,0.0003941404031068893,0.0003941404031067167
5,0,3774,1,0.00012936744840532545,0.0,0.2401506928037801,0.0015953203935123639,0.0,18,0.00021001293815145911,0.00011924188643905419,0.00016652669351253883,0.0001665266935119923,0.00013252062323728227,0.0001325206232371978
6,1,1334,1,0.00013037323690340003,0.0,0.22868782682719202,0.0013294336612603031,0.0,15,0.000186439602662821,0.00013155924674806716,9.307395748146723e-05,9.307395748133758e-05,0.00013819588390688638,0.00013819588390716992
7,1,1361,1,0.00020270814636049248,0.0,0.22868782682719202,0.0013294336612603031,0.0,40,0.000186439602662821,0.00025249803762322505,9.307395748146723e-05,9.307395748133758e-05,0.00020420368265171128,0.00020420368265147267
8,1,1839,1,0.00022494576267283634,0.0,0.22868782682719202,0.0013294336612603031,0.0,45,0.000186439602662821,0.00027750749958321044,9.307395748146723e-05,9.307395748133758e-05,0.0002716986767203384,0.0002716986767206326
9,1,2739,1,0.00022706814213749917,0.0,0.22868782682719202,0.0013294336612603031,0.0,50,0.000186439602662821,0.00031093471035301097,9.307395748146723e-05,9.307395748133758e-05,0.0001862556986064143,0.00018625569860623143
10,1,3130,1,0.00029661250939510837,0.0,0.2610717756490351,0.002924754054772667,0.0,143,0.00032951746962686104,0.00038917140383878517,0.0003424408532584134,0.0003424408532591835,0.00013592222574538803,0.00013592222574556841
11,1,3583,1,0.0003206457470757609,0.0,0.2610717756490351,0.002924754054772667,0.0,176,0.00032951746962686104,0.00045262240828613495,0.0003424408532584134,0.0003424408532591835,0.0003941404031068893,0.0003941404031067167
12,1,3792,1,0.0002497741110354641,0.0,0.2610717756490351,0.002924754054772667,0.0,88,0.00032951746962686104,0.00026831590016338354,0.0003424408532584134,0.0003424408532591835,0.0002429627662551995,0.00024296276625544494
13,1,3808,1,0.0003533718249172771,0.0,0.2610717756490351,0.002924754054772667,0.0,165,0.00032951746962686104,0.0004199750593189739,0.0003424408532584134,0.0003424408532591835,0.0003748623502937473,0.0003748623502945943
14,1,491,1,0.0002336576980797657,0.0,0.2610717756490351,0.002924754054772667,0.0,99,0.00032951746962686104,0.0002711559020992073,0.0003424408532584134,0.0003424408532591835,0.00031294396196815524,0.0003129439619680282
