Id,Predicted
1,0.015596316
2,0.045330353
3,0.0063258163
4,0.9999453
5,0.0050918744
6,0.021608455
7,0.011435177
8,0.99994636
9,0.318817
10,0.9999722
11,0.72649974
12,0.999982
13,0.43408418
14,0.034105822
15,0.9999503
16,0.00425799
17,0.6000066
18,0.80757684
19,0.99996126
20,0.9998697
21,0.99994934
22,0.015806295
23,0.9999471
24,0.006593081
25,0.08303987
26,0.999948
27,0.99994123
28,0.9998945
29,0.01654862
30,0.0022664636
31,0.028710183
32,0.0010847646
33,0.99997354
34,0.9999671
35,0.014998115
36,0.99991536
37,0.072047286
38,0.121094115
39,0.9999671
40,0.2837269
41,0.07455606
42,0.9998691
43,0.17026529
44,0.9999002
45,0.035777453
46,0.9999379
47,0.00813344
48,0.99977285
49,0.9999715
50,0.9999815
51,0.9999689
52,0.13579646
53,0.85564816
54,0.19941327
55,0.057359528
56,0.99995875
57,0.99996185
58,0.99992144
59,0.99986434
60,0.08341062
61,0.9999615
62,0.25760138
63,0.4865076
64,0.50986195
65,0.54562914
66,0.23135021
67,0.044147685
68,0.1398103
69,0.7584792
70,0.9999652
71,0.010906653
72,0.99995434
73,0.1399422
74,0.9999633
75,0.5451466
76,0.99981517
77,0.10593384
78,0.99987066
79,0.04609142
80,0.9999672
81,0.10380939
82,0.9999802
83,0.99991703
84,0.003556652
85,0.010758725
86,0.9999199
87,0.12221225
88,0.0313431
89,0.16528103
90,0.9999275
91,0.03293561
92,0.08154104
93,0.052532416
94,0.99997437
95,0.4396281
96,0.9999573
97,0.022486255
98,0.999967
99,0.94262314
100,0.094271645
101,0.049731363
102,0.9999858
103,0.9999238
104,0.053064052
105,0.0054193893
106,0.9999275
107,0.0065837437
108,0.16650178
109,0.20393023
110,0.19291838
111,0.057590473
112,0.271278
113,0.21648294
114,0.29318008
115,0.9999821
116,0.061416388
117,0.9998247
118,0.9999529
119,0.99991345
120,0.99997497
121,0.010217138
122,0.9999416
123,0.293401
124,0.99997306
125,0.2125037
126,0.4042938
127,0.17038439
128,0.048412994
129,0.22065301
130,0.9131266
131,0.9999044
132,0.022197435
